Ethnicity,Gender,Age,Admitted,Admit_Type,Application_Term,HS_GPA,Old_SAT,New_SAT,ACT,Enrolled,Scholarship_App,FinAid_Applicant,High_School_Percentile,FirstGen_Ind
Unknown,Unknown,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.22,,,,No,N,N,41.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Male,20.0,No,FR,Fall 2023,,,780.0,,No,N,Y,,No
Black,Female,18.0,Yes,FR,Fall 2023,3.128,,,,No,N,N,23.0,No
Black,Male,19.0,Yes,FR,Fall 2023,3.1174,,,,No,N,N,66.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.511,,,,Yes,N,Y,71.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.148,,,,No,N,Y,75.0,No
Unknown,Female,19.0,Yes,FR,Fall 2023,3.158,,,,No,N,N,66.0,No
White,Female,19.0,Yes,FR,Fall 2023,3.852,,1050.0,,Yes,N,Y,74.0,No
Black,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Male,19.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.429,,,32.0,No,N,Y,77.0,No
Black,Male,19.0,No,FR,Fall 2023,2.741,,,,No,N,N,25.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
White,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Black,Female,19.0,Yes,FR,Fall 2023,3.195,,700.0,,Yes,N,Y,64.0,No
Black,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
White,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,20.0,Yes,FR,Fall 2023,3.529,,870.0,,No,N,Y,92.0,No
White,Female,19.0,Yes,FR,Fall 2023,3.891,,,,No,N,N,,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.707,,,,No,N,Y,84.0,No
Black,Female,19.0,No,FR,Fall 2023,,,,,No,N,Y,38.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,Y,65.0,No
Hispanic,Female,20.0,Yes,FR,Fall 2023,3.442,,,,No,N,N,90.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.578,,,,No,N,Y,86.0,No
Black,Female,19.0,No,FR,Fall 2023,,,870.0,,No,N,Y,,No
Black,Female,18.0,Yes,FR,Fall 2023,3.806,,1040.0,,No,N,Y,86.0,No
Black,Male,19.0,Yes,FR,Fall 2023,3.098,,,,No,N,Y,23.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.5,,,,No,N,Y,72.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.61,,,,No,N,Y,92.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.25,,,,No,N,N,82.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,2.857,,,,No,N,Y,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,86.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.958,,,,No,N,Y,91.0,No
Black,Female,18.0,Yes,FR,Fall 2023,2.745,,,,Yes,N,Y,51.0,Yes
Hispanic,Female,19.0,No,FR,Fall 2023,,,1030.0,,No,N,Y,94.0,No
White,Female,18.0,Yes,FR,Fall 2023,3.854,,,,No,N,Y,78.0,No
Hispanic,Female,20.0,Yes,FR,Fall 2023,3.24,,,,No,N,N,58.0,No
Hispanic,Male,20.0,No,FR,Fall 2023,,,,,No,N,N,,No
Unknown,Female,19.0,Yes,FR,Fall 2023,3.821,,,,No,N,Y,88.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.744,,1150.0,,Yes,N,Y,92.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.981,,1100.0,,No,N,Y,98.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.865,,880.0,,No,N,Y,38.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.0,,,,No,N,N,73.0,No
Black,Female,18.0,No,FR,Fall 2023,2.705,,,,No,N,Y,39.0,No
Black,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,54.0,No
Black,Female,19.0,Yes,FR,Fall 2023,2.977,,,,No,N,N,70.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.855,,,,No,N,N,54.0,No
Unknown,Unknown,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2023,3.085,,,,No,N,Y,46.0,No
Hispanic,Male,20.0,Yes,FR,Fall 2023,3.93,,,,No,N,Y,92.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.373,,,,No,N,Y,78.0,No
White,Female,18.0,Yes,FR,Fall 2023,3.5,,,,Yes,N,Y,74.0,Yes
Black,Female,19.0,Yes,FR,Fall 2023,3.263,,,,Yes,N,Y,71.0,Yes
Black,Male,19.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.511,,820.0,,No,N,Y,78.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,2.588,,,,No,N,Y,,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,Y,22.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.729,,,,No,N,Y,83.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,,,,,No,N,N,81.0,No
Black,Male,19.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.237,,,,No,N,Y,60.0,No
Black,Female,18.0,Yes,FR,Fall 2023,,,,,No,N,Y,31.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.444,,,23.0,Yes,N,Y,81.0,Yes
Black,Female,18.0,Yes,FR,Fall 2023,3.028,,780.0,,No,N,Y,48.0,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,2.75,,,,No,N,Y,31.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,2.343,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,20.0,Yes,FR,Fall 2023,3.1,,,,No,N,N,49.0,No
Black,Female,19.0,No,FR,Fall 2023,2.561,,,,No,N,N,36.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.2917,,,,No,N,N,75.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,2.53,,,,No,N,N,,No
Black,Female,17.0,Yes,FR,Fall 2023,3.476,,,,No,N,Y,89.0,No
Black,Female,18.0,No,FR,Fall 2023,2.2895,,780.0,,No,N,N,8.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.897,,,,No,N,Y,28.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.25,,,,Yes,N,Y,84.0,Yes
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,Y,98.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.104,,,,No,N,N,64.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.364,,,,No,N,N,79.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.289,,,,No,N,N,25.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.78,,,,No,N,Y,86.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.823,,,,No,N,Y,97.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,,,,,Yes,N,Y,,No
Black,Female,19.0,Yes,FR,Fall 2023,3.61,,,,No,N,Y,86.0,No
White,Male,18.0,Yes,FR,Fall 2023,3.906,,,,No,N,Y,74.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.958,,,,No,N,Y,95.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.021,,,,No,N,Y,35.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,27.0,No,N,Y,,No
Black,Female,18.0,Yes,FR,Fall 2023,3.042,,860.0,,Yes,N,Y,69.0,Yes
Black,Female,18.0,Yes,FR,Fall 2023,3.237,,,,No,N,Y,46.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.105,,,,No,N,Y,28.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,94.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.06,,,,No,N,N,63.0,No
Black,Male,19.0,No,FR,Fall 2023,2.412,,,,No,N,Y,6.0,No
Black,Male,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
White,Male,18.0,Yes,FR,Fall 2023,3.167,,1050.0,,Yes,N,Y,38.0,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Indian,Male,19.0,Yes,FR,Fall 2023,2.795,,1000.0,15.0,Yes,N,Y,27.0,Yes
Black,Male,19.0,Yes,FR,Fall 2023,3.396,,,,No,N,Y,,No
Black,Female,18.0,No,FR,Fall 2023,2.444,,,,No,N,N,20.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.785,,,,No,N,Y,90.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.811,,940.0,,No,N,Y,85.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.377,,,,No,N,Y,80.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.962,,1110.0,,Yes,N,Y,98.0,Yes
Multi-race,Female,19.0,Yes,FR,Fall 2023,3.0,,910.0,,No,N,Y,26.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.377,,,,No,N,N,79.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.14,,700.0,,Yes,N,Y,40.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Male,18.0,Yes,FR,Fall 2023,3.333,,,,Yes,N,Y,48.0,Yes
Black,Female,19.0,Yes,FR,Fall 2023,,,,17.0,No,N,Y,57.0,No
Black,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Black,Male,19.0,Yes,FR,Fall 2023,2.938,,,,No,N,Y,92.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.213,,,20.0,No,N,Y,11.0,No
White,Female,18.0,Yes,FR,Fall 2023,3.583,,,,No,N,Y,73.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,97.0,No
Black,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,72.0,No
White,Female,18.0,Yes,FR,Fall 2023,3.5778,,,,No,N,Y,75.0,No
Asian,Female,18.0,Yes,FR,Fall 2023,3.75,,,,No,N,Y,77.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,2.935,,,,No,N,Y,38.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,89.0,No
Black,Male,17.0,No,FR,Fall 2023,,,1360.0,,No,N,N,25.0,No
White,Female,18.0,Yes,FR,Fall 2023,3.429,,,,No,N,Y,50.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.151,,,,No,N,Y,53.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.8511,,,,No,N,Y,98.0,No
White,Female,18.0,Yes,FR,Fall 2023,3.641,,,,No,N,Y,82.0,No
Black,Male,19.0,Yes,FR,Fall 2023,3.688,,,,No,N,Y,83.0,No
Black,Female,18.0,Yes,FR,Fall 2023,2.894,,,,No,N,N,39.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,2.417,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.787,,,,No,N,Y,98.0,No
Black,Male,18.0,Yes,FR,Fall 2023,3.578,,,,No,N,Y,87.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.298,,,,Yes,N,Y,55.0,No
Black,Male,19.0,Yes,FR,Fall 2023,2.672,,940.0,,Yes,N,Y,50.0,Yes
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.786,,,,No,N,Y,88.0,No
Hispanic,Female,17.0,No,FR,Fall 2023,,,,,No,N,N,87.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.31,,,,No,N,Y,79.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Black,Male,19.0,Yes,FR,Fall 2023,2.822,,,,No,N,Y,32.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,2.438,,,,No,N,Y,4.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.649,,,,No,N,Y,96.0,No
Asian,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Female,19.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.96,,,18.0,No,N,Y,94.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.068,,,,No,N,Y,62.0,No
Black,Male,18.0,Yes,FR,Fall 2023,3.471,,,,No,N,N,79.0,No
Black,Female,19.0,Yes,FR,Fall 2023,2.92,,,,No,N,Y,44.0,No
Black,Female,19.0,Yes,FR,Fall 2023,2.843,,1040.0,,No,N,Y,46.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.939,,,,No,N,Y,39.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.981,,,,No,N,Y,98.0,No
White,Male,19.0,Yes,FR,Fall 2023,3.5,,,,No,N,Y,51.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.5,,,,No,N,Y,66.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.532,,,,No,N,Y,94.0,No
Indian,Female,18.0,No,FR,Fall 2023,2.524,,,,No,N,N,44.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.333,,,,No,N,N,68.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.98,,1240.0,,Yes,N,Y,94.0,Yes
Hispanic,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
White,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,80.0,No
Unknown,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Female,19.0,No,FR,Fall 2023,2.694,,,,No,N,Y,37.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,3.259,,,,No,N,Y,78.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.303,,,,No,N,N,70.0,No
White,Male,19.0,Yes,FR,Fall 2023,3.477,,1030.0,,Yes,N,Y,58.0,No
Black,Male,18.0,Yes,FR,Fall 2023,2.694,,1030.0,,No,N,Y,29.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,4.0,,,,No,N,Y,85.0,No
Black,Male,19.0,Yes,FR,Fall 2023,3.023,,,,No,N,Y,56.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,1200.0,,No,N,Y,,No
Hispanic,Male,20.0,No,FR,Fall 2023,1.612,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.083,,,,No,N,Y,58.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,95.0,No
Black,Female,19.0,Yes,FR,Fall 2023,2.911,,,,No,N,N,48.0,No
Black,Female,19.0,No,FR,Fall 2023,2.291,,,,No,N,N,23.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.682,,,,No,N,Y,85.0,No
Hispanic,Unknown,19.0,Yes,FR,Fall 2023,2.9623,,,,No,N,N,49.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.372,,,,No,N,Y,29.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.638,,1110.0,,No,N,Y,60.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Male,19.0,Yes,FR,Fall 2023,3.615,,,,No,N,Y,72.0,No
Black,Male,19.0,Yes,FR,Fall 2023,3.07,,890.0,,No,N,Y,39.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
White,Female,18.0,Yes,FR,Fall 2023,4.0,,1170.0,,No,N,Y,95.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,2.7,,740.0,15.0,No,N,Y,44.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.723,,,,No,N,Y,89.0,No
Black,Female,19.0,No,FR,Fall 2023,2.6,,,,No,N,Y,42.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.044,,,,No,N,Y,51.0,No
White,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,83.0,No
Unknown,Female,18.0,Yes,FR,Fall 2023,3.019,,,14.0,No,N,Y,63.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.381,,,,No,N,Y,86.0,No
Unknown,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.0,,,,No,N,Y,46.0,No
Black,Female,19.0,No,FR,Fall 2023,,,1030.0,,No,N,Y,7.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.804,,,,No,N,Y,95.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.854,,,,No,N,Y,91.0,No
Hispanic,Female,20.0,Yes,FR,Fall 2023,3.04,,,,No,N,Y,76.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.816,,,,No,N,Y,87.0,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Unknown,Male,18.0,No,FR,Fall 2023,2.568,,,15.0,No,N,Y,14.0,No
Unknown,Female,19.0,Yes,FR,Fall 2023,3.282,,,,No,N,Y,79.0,No
Black,Male,19.0,Yes,FR,Fall 2023,2.958,,,16.0,No,N,N,57.0,No
Asian,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,84.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,2.04,,,,No,N,N,8.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.963,,1300.0,,No,N,Y,96.0,No
Black,Male,19.0,No,FR,Fall 2023,2.64,,,,No,N,Y,35.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,2.4583,,950.0,,No,N,N,19.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.773,,1080.0,,No,N,Y,83.0,No
Black,Male,18.0,No,FR,Fall 2023,,,790.0,,No,N,N,,No
Unknown,Male,19.0,Yes,FR,Fall 2023,3.345,,780.0,,No,N,Y,28.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.892,,1040.0,,Yes,N,Y,90.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.865,,,,No,N,Y,88.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.77,,,,No,N,Y,62.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,69.0,No
Black,Male,19.0,Yes,FR,Fall 2023,3.256,,,,No,N,Y,36.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,2.681,,,,No,N,N,30.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.268,,,,No,N,N,69.0,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,51.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2023,2.771,,,,No,N,Y,23.0,No
Black,Female,20.0,Yes,FR,Fall 2023,2.85,,,,No,N,Y,16.0,No
Asian,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.762,,,,No,N,Y,83.0,No
Black,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Female,18.0,Yes,FR,Fall 2023,3.651,,,,No,N,Y,87.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.2553,,,,No,N,Y,68.0,No
Black,Male,19.0,No,FR,Fall 2023,2.442,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.686,,,,No,N,Y,94.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,2.932,,,,No,N,N,65.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.413,,,,No,N,Y,,No
Unknown,Male,20.0,Yes,FR,Fall 2023,3.736,,,,No,N,Y,95.0,No
Asian,Female,18.0,Yes,FR,Fall 2023,2.786,,,,Yes,N,Y,17.0,Yes
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.592,,,,No,N,Y,62.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.83,,,,No,N,Y,46.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,2.857,,890.0,,No,N,N,60.0,No
Unknown,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Female,19.0,No,FR,Fall 2023,2.682,,,,No,N,N,20.0,No
White,Female,19.0,Yes,FR,Fall 2023,3.292,,,,No,N,N,73.0,No
Hispanic,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Male,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.722,,,,No,N,Y,96.0,No
White,Female,18.0,No,FR,Fall 2023,2.5357,,,,No,N,Y,29.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.357,,,,No,N,Y,63.0,No
Hispanic,Male,20.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2023,2.9,,,,No,N,N,48.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.927,,,,No,N,Y,56.0,No
Black,Male,19.0,Yes,FR,Fall 2023,2.915,,,,Yes,N,Y,14.0,No
Black,Male,18.0,No,FR,Fall 2023,,,1200.0,,No,N,N,,No
Black,Female,18.0,Yes,FR,Fall 2023,3.205,,,,No,N,Y,51.0,No
Black,Male,19.0,Yes,FR,Fall 2023,3.105,,,,Yes,N,Y,55.0,Yes
Hispanic,Female,19.0,No,FR,Fall 2023,2.689,,,,No,N,N,46.0,No
Black,Female,18.0,No,FR,Fall 2023,,,,,No,N,Y,,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2023,2.523,,,,No,N,Y,35.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,2.98,,,,No,N,Y,53.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,18.0,No,FR,Fall 2023,2.419,,,,No,N,N,9.0,No
Black,Male,19.0,No,FR,Fall 2023,,,,,No,N,Y,88.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,4.0,,,,No,N,Y,99.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,2.946,,,,No,N,N,24.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.15,,850.0,,No,N,Y,31.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.463,,,,No,N,Y,84.0,No
Unknown,Female,18.0,Yes,FR,Fall 2023,3.558,,,20.0,No,N,Y,88.0,No
Black,Female,18.0,Yes,FR,Fall 2023,2.068,,,,No,N,Y,10.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.435,,,,No,N,Y,53.0,No
Unknown,Unknown,18.0,No,FR,Fall 2023,2.7,,,,No,N,Y,45.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,96.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.51,,1070.0,,No,N,Y,,No
Hispanic,Male,18.0,No,FR,Fall 2023,2.14,,,,No,N,Y,,No
Black,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.1,,,,No,N,Y,61.0,No
Hispanic,Female,18.0,No,FR,Fall 2023,2.617,,,,No,N,Y,,No
Black,Male,19.0,Yes,FR,Fall 2023,3.205,,,,No,N,N,,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
White,Male,18.0,Yes,FR,Fall 2023,3.2059,,1090.0,,Yes,N,Y,64.0,Yes
Hispanic,Female,19.0,No,FR,Fall 2023,2.525,,,13.0,No,N,Y,11.0,No
Asian,Female,19.0,Yes,FR,Fall 2023,3.5,,1130.0,24.0,Yes,N,Y,81.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2023,3.547,,960.0,,No,N,Y,89.0,No
Black,Female,18.0,No,FR,Fall 2023,,,900.0,,No,N,N,,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,94.0,No
Black,Male,18.0,Yes,FR,Fall 2023,2.964,,,,Yes,N,Y,15.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,19.0,No,FR,Fall 2023,2.34,,,,No,N,N,15.0,No
Black,Female,18.0,No,FR,Fall 2023,2.74,,760.0,,No,N,Y,1.0,No
Black,Female,19.0,Yes,FR,Fall 2023,3.109,,,,Yes,N,Y,61.0,Yes
Black,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Female,18.0,Yes,FR,Fall 2023,3.839,,,,No,N,Y,95.0,No
Black,Female,18.0,Yes,FR,Fall 2023,3.851,,,,No,N,Y,85.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,3.513,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.293,,,,No,N,Y,66.0,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Hispanic,Female,20.0,Yes,FR,Fall 2023,3.587,,,,No,N,Y,85.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,2.694,,,,No,N,Y,41.0,No
White,Male,19.0,Yes,FR,Fall 2023,3.729,,,,No,N,Y,89.0,No
Hispanic,Male,18.0,No,FR,Fall 2023,,,,,No,N,N,98.0,No
White,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,47.0,No
Black,Male,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Male,18.0,Yes,FR,Fall 2023,3.45,,,,No,N,Y,86.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2023,3.022,,,,No,N,Y,57.0,No
Hispanic,Female,19.0,No,FR,Fall 2023,,,,,No,N,N,,No
Black,Male,19.0,Yes,FR,Fall 2023,2.795,,,,No,N,Y,43.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2023,3.509,,,,No,N,Y,89.0,No
